employee_id,fullname,years_of_service_months,latest_rating,performance_group,grade,education,major,position,department,disc,mbti,iq,gtq,gdr_score_avg,cex_score_avg,ids_score_avg,qdd_score_avg,sto_score_avg,sea_score_avg,vcu_score_avg,lie_score_avg,ftc_score_avg,csi_score_avg,top_5_strengths,papi_n_score,papi_l_score,papi_p_score,papi_a_score
EMP100001,Wulan Setiawan,16,3,Standard Performer,III,D3,Design,HRBP,Operations,DS,INTP,94,17,3.75,3.25,3.5,2.66666666666667,3.25,3.66666666666667,3.5,3.25,3.25,3.5,"Responsibility, Includer, Significance, Context, Adaptability",8,7,5,3
EMP100002,Julia Jatmiko Situmorang,58,4,Standard Performer,III,S2,Business,Sales Supervisor,Finance,DC,null,109,20,2.6,3.8,3,3.25,3.2,3,3,2.75,2.75,3,"Restorative, Maximizer, Woo, Includer, Command",9,null,3,2
EMP100003,Oka Halim,15,3,Standard Performer,IV,S1,Psychology,HRBP,HR,SI,ENTJ,85,39,2.75,1.66666666666667,2.5,2.25,2.66666666666667,2.5,3.5,2.25,2.25,2.25,"Belief, Intellection, Arranger, , Adaptability",9,3,8,null
EMP100004,Dwi Pratama,34,4,Standard Performer,III,D3,Psychology,Supply Planner,Operations,null,INTJ,134,21,3.2,3.5,2.8,2.6,3.6,2.4,3.33333333333333,3.25,3.4,3,"Deliberative, Command, Woo, Communication, Ideation",7,3,7,5
EMP100005,Bayu Zulfikar,66,3,Standard Performer,III,S2,Business,Sales Supervisor,HR,DC,null,130,21,1.5,2.6,1.75,2.4,1.75,2.2,2.5,2.25,2,2.2,"Input, Relator, Woo, Deliberative, Consistency",null,1,6,null
EMP100006,Indra Santoso,82,4,Standard Performer,III,D3,Engineering,Finance Officer,HR,SC,ESFP,139,27,3.4,3.2,3.8,3.4,3.75,3.8,3.5,3.5,3.25,4,"Input, Analytical, Responsibility, Maximizer, Self-Assurance",2,6,7,7
EMP100007,Rani Mahendra,56,2,Standard Performer,V,S1,Business,HRBP,IT,DS,ESFJ,99,17,2.6,2.75,3,2.8,3,2.6,2.2,3.25,3,2.8,"Connectedness, Strategic, Consistency, Communication, Focus",7,2,9,1
EMP100008,Gita Permadi,40,3,Standard Performer,III,SMA,Business,Finance Officer,Finance,ID,INFP,137,23,3.4,3.25,3.2,3.4,3,3,3.25,3,3.4,3.4,", Ideation, Focus, Individualization, Positivity",9,8,9,5
EMP100010,Maya Jatmiko Handayani,29,5,High Performer,V,D3,Engineering,HRBP,IT,CI,ESTJ,84,42,2.25,3,2.8,2.6,2.6,3,2.33333333333333,2.2,3,2.8,"Activator, Includer, Arranger, Developer, Restorative",2,null,5,5
EMP100011,Fajar Halim,51,5,High Performer,V,S1,Business,Finance Officer,Operations,DI,ENFP,125,31,3.6,3.25,2.6,3.25,2.8,4,3.6,4,3.5,3.25,"Empathy, Intellection, Activator, Deliberative, Adaptability",null,null,6,null
EMP100012,Rendra Tri Purnama,3,5,High Performer,IV,SMA,Statistics,Data Analyst,IT,DS,ISFJ,108,43,3,2.5,2,2.33333333333333,2.75,2.75,2.5,2.25,2.25,2.75,"Belief, Empathy, Focus, Positivity, Discipline",8,7,5,4
EMP100013,Maya Mahendra,3,2,Standard Performer,V,D3,Engineering,Supply Planner,HR,IC,ENTP,124,33,1.66666666666667,2.5,2,2.25,2.66666666666667,2.5,3,2,2.66666666666667,2,", Consistency, Adaptability, Restorative, Connectedness",5,4,7,3
EMP100014,Wahyu Indrawan,65,3,Standard Performer,IV,SMA,Design,Supply Planner,Finance,SI,ISTJ,92,24,3,2.8,2.8,3.33333333333333,3,3.6,3.2,3.4,3.6,3,"Empathy, Maximizer, Focus, Significance, Restorative",8,1,7,5
EMP100016,Dinda Pramudita Ginting,39,2,Standard Performer,IV,D3,Economics,Supply Planner,R&D,SI,ISTP,97,34,2.8,3.2,2.75,3.2,2.4,2.4,3.5,2.6,2.6,3.2,"Adaptability, Relator, Discipline, Futuristic, Input",6,5,9,1
EMP100017,Fajar Mahendra,95,4,Standard Performer,V,S1,Design,HRBP,IT,CS,ENTJ,107,31,3.2,3.6,3,3.2,2.6,3.25,3,3.2,3.2,3.2,"Individualization, Positivity, Input, Communication, Empathy",2,1,6,4
EMP100018,Arif Ginting,53,2,Standard Performer,IV,D3,Statistics,Sales Supervisor,IT,SC,ESFJ,null,28,3.25,3.4,2.8,3,3.5,2.66666666666667,2.75,3,2.8,2.6,"Harmony, Arranger, Connectedness, Input, Discipline",8,6,7,1
EMP100019,Rizki Iqbal Gunawan,27,3,Standard Performer,III,S2,Statistics,HRBP,HR,CD,ISTP,125,23,3.6,3.75,3.5,3.4,22.6,3.4,3.8,3.6,3.8,3,"Strategic, Discipline, Arranger, , Empathy",1,1,9,2
EMP100020,Yoga Erlangga Hartanto,31,4,Standard Performer,IV,SMA,Psychology,Brand Executive,R&D,DC,ENFP,132,33,3.66666666666667,3.4,3.4,4.2,3.6,3.8,4,3.4,2.8,3.2,"Includer, Command, Adaptability, Analytical, ",7,2,5,3
EMP100022,Oka Nugroho,53,4,Standard Performer,IV,S2,Economics,Data Analyst,IT,null,ISTP,91,35,4.25,3.6,3.6,3.6,3.4,3.4,3.4,2.33333333333333,3.2,3.2,"Discipline, Self-Assurance, Strategic, Input, Includer",null,6,8,2
EMP100023,Adit Kurniawan,49,3,Standard Performer,IV,SMA,Business,Finance Officer,HR,DC,ESTJ,139,30,2.4,2.6,2.4,2.2,2,2.2,2.8,2.6,2,2.5,"Arranger, Strategic, Futuristic, Self-Assurance, Focus",7,5,3,2
EMP100024,Rendra Candra Maulida,44,5,High Performer,IV,S2,Engineering,Sales Supervisor,IT,CD,ESTP,134,23,3.8,3.75,4.2,3.8,4,2.8,3.6,3.8,4,3.4,"Connectedness, Adaptability, Competition, Context, ",6,7,3,6
EMP100026,Wulan Yudhistira Tamba,65,5,High Performer,IV,SMA,Economics,HRBP,HR,IS,ESFJ,107,32,4.33333333333333,3.6,2.75,3.4,3.2,3.2,3,3.5,3.25,3.4,"Competition, Harmony, Deliberative, Focus, Maximizer",7,2,6,7
EMP100027,Oka Rohman,132,1,Standard Performer,V,S2,Design,Data Analyst,Finance,SC,INFP,97,18,3,2.25,2,2.25,2.25,2.4,2.8,2,2.4,2.6,"Discipline, Includer, Command, Arranger, Deliberative",1,5,9,null
EMP100028,Nadia Saputra,22,3,Standard Performer,IV,SMA,Psychology,Finance Officer,IT,SI,INFP,107,20,2.5,3,2.25,3,2.66666666666667,2.66666666666667,3,3,3.5,3.25,"Deliberative, Significance, Arranger, Strategic, Communication",6,9,1,2
EMP100030,Rizky Anugrah Permadi,56,3,Standard Performer,V,S2,Engineering,Sales Supervisor,IT,DS,ESTJ,110,22,1.75,2.5,2,1.8,2.6,2,2.5,2,2.4,2.6,"Restorative, Responsibility, Input, Intellection, Relator",6,3,9,8
EMP100031,Julia Nabila Kurniawan,34,2,Standard Performer,IV,SMA,Design,Finance Officer,HR,CD,INTJ,103,35,3.5,3.5,3.2,3.75,3.8,22.4,4,3.75,4,3.6,"Maximizer, Arranger, Responsibility, , Includer",6,5,2,null
EMP100032,Galih Mahardika Purnama,34,3,Standard Performer,III,SMA,Design,Finance Officer,R&D,DS,ENTJ,null,36,3.25,3.8,3.4,3.2,3.4,3,3.4,3.2,2.8,3.4,"Maximizer, Learner, , Discipline, Individualization",9,6,7,6
EMP100033,Ahmad Simanjuntak,37,2,Standard Performer,IV,SMA,Economics,Sales Supervisor,IT,ID,ENFP,117,23,2.25,3,2.8,2.6,2.5,3.25,2,3.2,2.25,2.2,"Futuristic, Discipline, Input, Individualization, Includer",5,6,9,5
EMP100035,Oka Tamba,57,2,Standard Performer,V,S1,Engineering,Brand Executive,Operations,DI,null,103,28,2.6,2.8,2.75,2.8,2.8,3,2,2.8,3.25,3,"Command, Includer, , , Adaptability",3,1,6,5
EMP100036,Ayunda Utama Lestari,54,3,Standard Performer,V,S1,Economics,Brand Executive,R&D,CD,ESFJ,120,28,3.4,3,3.6,3.6,3.25,3.4,3.75,3.25,3.2,3.75,"Woo, Deliberative, Context, Positivity, Relator",7,null,null,7
EMP100037,Nabila Ramadhan,52,4,Standard Performer,IV,S1,Statistics,Supply Planner,Marketing,null,ISTJ,null,null,2.8,3.75,2.6,2.4,3.25,3.6,2.25,2.6,2.4,2.4,"Connectedness, Responsibility, Analytical, Context, Command",2,2,7,8
EMP100039,Budi Adi Permadi,65,5,High Performer,III,S2,Engineering,HRBP,IT,SI,ISFP,125,41,3.4,3.5,3.4,3.6,3.6,3.4,3.2,3.2,3.6,3.2,"Futuristic, Developer, Woo, Self-Assurance, Learner",2,8,2,3
EMP100040,Rifqi Putra,81,2,Standard Performer,IV,SMA,Design,HRBP,HR,ID,ESTP,112,24,1.5,1.8,1.66666666666667,1.75,1.5,1.75,1.6,2,1.6,2.5,"Discipline, Self-Assurance, Learner, Analytical, Achiever",7,2,null,1
EMP100041,Lestari Maulana,99,5,High Performer,III,S1,Engineering,Finance Officer,R&D,IS,ISTJ,86,25,3.2,3.2,3,3,3.4,2.5,3.4,3,3.4,2.75,"Intellection, Connectedness, Significance, Deliberative, ",null,4,8,3
EMP100042,Oka Lukman,28,4,Standard Performer,III,SMA,Economics,Supply Planner,HR,CD,ENFP,139,25,2.8,2.8,2.5,2.6,3,2.75,2.8,3.2,3,2.8,"Command, Adaptability, Intellection, Positivity, Empathy",8,3,7,9
EMP100043,Nugroho Indrawan,40,4,Standard Performer,III,D3,Economics,Finance Officer,Marketing,SD,ESFJ,null,null,3.4,3.6,3.6,3.75,2.25,3.6,3.5,4,3.4,2.75,"Learner, Individualization, Relator, Positivity, Communication",8,8,1,7
EMP100044,Indra Maulida,8,4,Standard Performer,III,S1,Statistics,Sales Supervisor,IT,ID,ESFP,82,41,2.75,2.5,3,2.5,2.75,2.25,3,3,2.33333333333333,2.5,"Focus, Communication, Arranger, Competition, Self-Assurance",4,9,1,1
EMP100045,Dimas Mahendra,38,3,Standard Performer,V,D3,Psychology,Data Analyst,IT,DS,ISTJ,111,23,3.25,3.4,3.4,3.4,3.6,2.8,2.4,3,3,3.4,"Ideation, Positivity, Belief, Empathy, Significance",3,7,null,9
EMP100046,Fitri Lestari,64,2,Standard Performer,IV,S1,Statistics,Brand Executive,Marketing,null,ISTJ,null,null,3.6,3.2,2.8,3.4,3,2.6,3,2.8,3,2.75,"Adaptability, Empathy, , Belief, Positivity",1,1,2,2
EMP100047,Hadi Pradana,58,1,Standard Performer,III,S2,Psychology,Data Analyst,HR,ID,ISTJ,110,22,3,2.6,2.8,3,3.6,3.6,4,3.2,3.5,3.2,"Competition, Includer, Connectedness, , ",9,4,3,3
EMP100048,Adit Halim,50,3,Standard Performer,III,SMA,Statistics,HRBP,Operations,SI,ESFJ,125,36,2.75,3.2,2.4,2.5,3,3.25,3.75,2.8,2.5,3.4,"Relator, Context, Deliberative, Achiever, Intellection",5,7,3,3
EMP100049,Rizki Halim Siregar,35,4,Standard Performer,V,SMA,Statistics,Sales Supervisor,Finance,DC,INTP,133,27,4.25,4,3.5,3.5,3.4,3.6,3.6,3.4,5,3.4,"Achiever, , Ideation, Strategic, Discipline",6,2,2,8
EMP100050,Joko Ridwan,69,5,High Performer,III,S1,Design,HRBP,IT,DC,null,131,32,4,3.6,4,3.4,4.2,3.4,3.8,22.6,3.5,3.5,", Competition, Learner, Input, Futuristic",5,2,9,5
EMP100051,Ari Mahardika Nugroho,98,2,Standard Performer,III,S2,Psychology,Sales Supervisor,Finance,CS,INFP,110,36,3.2,2.8,3.6,3.75,4,3.4,3.8,4,2.5,3.6,"Analytical, Developer, Positivity, , Learner",7,8,3,2
EMP100052,Sari Yudhistira Mahendra,23,5,High Performer,V,S2,Economics,HRBP,HR,IC,ISTJ,126,36,4.25,4.66666666666667,4,3.75,3.75,3.5,3.75,4.66666666666667,4,3.33333333333333,", Responsibility, Communication, Futuristic, Activator",5,null,9,3
EMP100053,Anisa Pamungkas,52,4,Standard Performer,V,S2,Psychology,Brand Executive,IT,IS,ISFJ,140,23,3.2,3.25,3.33333333333333,2.4,3.4,3.6,3.75,3.25,2.2,4,"Self-Assurance, Positivity, Learner, Input, Includer",3,6,1,8
EMP100054,Nugroho Maulida,22,5,High Performer,III,S1,Economics,HRBP,IT,SI,ISTJ,88,36,3.66666666666667,3.25,4.33333333333333,3.33333333333333,4,3.75,4.25,3.25,3.75,3.66666666666667,"Includer, Maximizer, Focus, Intellection, Activator",3,9,5,7
EMP100055,Putri Nugroho,42,4,Standard Performer,IV,SMA,Psychology,Supply Planner,Finance,DS,INFJ,124,26,4.25,4.2,3.75,4.4,3.8,4.25,3.25,4,4,4,"Discipline, Input, , Individualization, Belief",8,8,5,6
EMP100056,Ayunda Ramadhan,96,3,Standard Performer,III,S2,Economics,Brand Executive,Marketing,CI,INTJ,null,null,3.6,4,3.8,4.33333333333333,3.8,4,3.8,4,4,3.8,"Achiever, Command, Positivity, Belief, Intellection",5,null,8,9
EMP100057,Nurlita Kusuma,60,3,Standard Performer,V,D3,Engineering,Supply Planner,HR,IS,ENTP,123,35,3,2.8,2.8,3.25,3,3.4,2.4,3.4,3,2.4,"Empathy, Maximizer, , Positivity, Analytical",2,2,4,2
EMP100058,Adit Anugrah Halim,66,4,Standard Performer,V,S1,Engineering,Data Analyst,Marketing,CS,INTJ,null,null,4,2.6,2.4,2,1.6,2.4,3,2.6,2.2,2.8,"Self-Assurance, Empathy, Futuristic, Context, Command",4,7,7,1
EMP100059,Fajar Dharma Subekti,75,5,High Performer,V,SMA,Statistics,Finance Officer,HR,SI,null,92,13,3.2,2.33333333333333,2.8,2.33333333333333,3.5,3.4,2.8,2.6,2.5,3.2,"Activator, Connectedness, Positivity, Learner, Arranger",6,2,2,6
EMP100060,Wulan Maulida,44,5,High Performer,IV,S1,Design,Finance Officer,Marketing,CS,ENTP,null,null,3.2,2.75,3,3,3.25,3,3.6,3.2,3.66666666666667,4,"Deliberative, Activator, Competition, Futuristic, ",4,7,9,6
EMP100061,Oktavia Anugrah Setiawan,46,3,Standard Performer,V,D3,Psychology,Supply Planner,Marketing,IC,ENTP,null,null,2.25,3.5,3,3,3.6,2.8,3,3,2.6,2.2,"Competition, Individualization, , Adaptability, Command",8,3,6,5
EMP100062,Valdo Jatmiko Mahendra,40,3,Standard Performer,IV,S2,Design,HRBP,R&D,null,ISTP,89,31,3,2.75,3.2,3.6,2.6,2.4,3,2.6,3.2,3.2,"Learner, Individualization, Woo, Deliberative, Context",5,9,8,5
EMP100063,Ayu Lestari Pradana,42,3,Standard Performer,III,S2,Psychology,Brand Executive,Marketing,SC,ESFP,null,null,3.4,3.8,3.8,3.8,3.4,3.75,4.33333333333333,4.2,3.6,4,", Woo, , Adaptability, Self-Assurance",8,3,4,1
EMP100064,Kurnia Purnama,38,2,Standard Performer,V,D3,Statistics,Supply Planner,Operations,IS,ESTP,96,26,3.75,3.66666666666667,3.2,2.6,2.8,2.25,2.6,3,3,2.8,"Futuristic, Ideation, Arranger, Adaptability, Achiever",7,8,5,9
EMP100065,Rani Saputra,24,4,Standard Performer,IV,D3,Engineering,Brand Executive,Finance,CS,ISFP,90,34,3,3,3,3,2.6,2.6,3,3.33333333333333,2.5,2.5,"Harmony, Focus, Command, Developer, Learner",8,8,6,5
EMP100066,Tania Lestari Setiawan,65,3,Standard Performer,III,D3,Business,Finance Officer,Finance,CD,ENTJ,84,28,3.25,2.6,2.6,2.75,2.4,3,3,3.2,3,2.6,"Ideation, , Responsibility, Individualization, Strategic",3,6,3,1
EMP100067,Indra Zulfikar,89,3,Standard Performer,V,D3,Business,Finance Officer,Finance,SD,INTJ,101,20,3,3,3.6,3.2,3,3.6,3.6,3,3.2,2.8,"Intellection, Empathy, Strategic, Connectedness, Includer",7,5,9,null
EMP100068,Nabila Qolbi Suharto,68,1,Standard Performer,III,SMA,Business,Finance Officer,HR,DI,INTP,null,16,2.2,2.4,2.4,2.66666666666667,2.2,2.8,2.5,2.6,2.6,2.5,"Discipline, , Ideation, Individualization, Activator",null,4,5,7
EMP100071,Rafa Situmorang,72,3,Standard Performer,III,S1,Engineering,HRBP,IT,DC,ENTP,107,35,3.8,3.4,3.6,4,3.6,3.4,3,3.2,3.75,3.5,"Maximizer, Woo, Achiever, Focus, Strategic",6,3,6,2
EMP100072,Nugroho Hartanto,45,2,Standard Performer,III,S2,Statistics,Finance Officer,Operations,CI,INFP,87,32,3.2,2.25,3.6,3.2,2.8,3.25,3.6,3.4,2.75,3,"Command, Relator, Harmony, Individualization, Empathy",3,5,1,6
EMP100073,Dimas Halim Ananda,85,2,Standard Performer,V,S2,Business,Finance Officer,IT,IC,ESTJ,104,35,2,2.8,2.6,2.5,2.6,2,2.2,2.8,2.6,2.6,"Communication, Restorative, , Positivity, Strategic",5,4,6,9
EMP100074,Ari Utama Putra,32,3,Standard Performer,V,D3,Economics,Data Analyst,Finance,CI,INTJ,131,25,3,2.6,26.5,3.5,3,2.8,3,3,3.2,2.75,"Relator, Achiever, Consistency, Developer, Woo",2,3,4,4
EMP100075,Rizki Halim Zulfikar,24,5,High Performer,III,SMA,Engineering,Sales Supervisor,Marketing,ID,INTP,null,null,3.6,3.4,3.2,3.6,3.8,3.6,3.2,3.6,3.6,3.6,"Developer, Positivity, Intellection, , Harmony",5,8,8,8
EMP100076,Rizki Wijaya,4,4,Standard Performer,III,S2,Business,Supply Planner,Operations,IS,ESFP,80,34,2,3.66666666666667,4,3,3,3.25,3,3.33333333333333,2.75,3,", Empathy, Activator, Ideation, Communication",8,7,2,1
EMP100077,Novi Setiawan,35,2,Standard Performer,III,S2,Psychology,Finance Officer,IT,CD,ENFJ,135,32,2.8,3.25,2.2,3,3,3,2.25,2.8,3.4,2.5,"Discipline, Deliberative, , Intellection, Maximizer",5,2,3,5
EMP100078,Indra Anggara,39,3,Standard Performer,V,SMA,Business,Supply Planner,IT,SI,ISTP,84,19,3.6,3,3.2,3.5,3.2,2.8,4,3.4,3.5,2.8,"Deliberative, , Context, Ideation, Achiever",3,2,7,5
EMP100079,Novi Hasibuan,67,3,Standard Performer,III,D3,Psychology,Finance Officer,IT,DS,ISTJ,122,23,4,3.5,3,3.6,3.25,3.5,3.25,3.33333333333333,3.2,4.25,"Deliberative, Achiever, Focus, Strategic, ",1,4,2,3
EMP100080,Andi Mahardika Handayani,43,3,Standard Performer,IV,SMA,Design,Data Analyst,IT,DC,ENFJ,87,36,3.6,3.8,3.5,3.2,3.6,3.25,3.4,3.25,22.6,4,"Context, Maximizer, Positivity, Achiever, ",null,7,3,1
EMP100081,Ari Yulianto,85,4,Standard Performer,V,S2,Economics,Supply Planner,Finance,CS,ENFP,138,23,3,4,3.2,3.25,3.6,3,3.4,3.8,3,2.8,"Empathy, Learner, Intellection, Activator, Arranger",3,2,4,9
EMP100082,Budi Dharma Lukman,63,4,Standard Performer,V,SMA,Business,Brand Executive,IT,null,INTP,133,27,2.4,2.4,2.6,2.25,2,2.8,2.6,2.8,2.75,3.25,"Command, Ideation, Connectedness, Significance, Empathy",1,1,1,5
EMP100084,Dian Rachman Handayani,16,4,Standard Performer,IV,D3,Design,Supply Planner,HR,SD,null,118,36,3.33333333333333,4.25,3.5,3.33333333333333,22.4,3.5,3.75,3,3.75,4,"Ideation, Input, Focus, Maximizer, Restorative",8,9,9,3
EMP100085,Ahmad Rohman,22,4,Standard Performer,V,S1,Business,Data Analyst,IT,null,ENTJ,null,26,4,3.25,3.66666666666667,2.75,3,2.75,2.66666666666667,4,2.5,2.75,", Empathy, Connectedness, Positivity, Consistency",5,7,6,6
EMP100086,Rani Syahputra,23,4,Standard Performer,V,S2,Economics,HRBP,R&D,IC,ISTJ,110,36,4,4,3.5,3.75,4,3.75,3.75,4,4,4.75,"Consistency, Responsibility, Relator, Connectedness, Positivity",1,3,1,7
EMP100087,Rizka Ananda,12,1,Standard Performer,V,S2,Economics,Brand Executive,R&D,DS,ENFP,109,25,3,2.5,2.75,3.5,2.75,3,2.75,3,2.75,3.25,"Activator, Responsibility, Learner, Maximizer, ",2,7,5,9
EMP100088,Nadia Saputra Mahendra,38,2,Standard Performer,III,S2,Statistics,Finance Officer,HR,CS,ISFP,83,29,3.5,3,3,2.33333333333333,3.66666666666667,2.6,3.2,3.4,3,2.5,"Ideation, Relator, Woo, Input, Discipline",8,2,3,8
EMP100090,Maya Pratomo,27,4,Standard Performer,IV,S1,Psychology,Supply Planner,Operations,DS,ESTJ,null,29,3.2,3.5,3.2,3.8,3.2,3.4,4,3.5,3.8,3.2,"Adaptability, Strategic, Significance, Achiever, Relator",null,6,9,3
EMP100091,Oka Candra Firmansyah,10,4,Standard Performer,IV,S2,Business,Finance Officer,IT,DS,ENFP,102,23,3.75,3.25,4.33333333333333,2.5,3.5,3,3.5,3.75,3.25,3.5,"Relator, Activator, Deliberative, Learner, Command",3,3,8,null
EMP100092,Ahmad Indrawan,68,3,Standard Performer,V,S1,Design,Data Analyst,Marketing,IC,ENTJ,null,null,3.4,3,3,3.4,3.4,3.2,3,3,2.6,3.5,"Analytical, Intellection, Maximizer, Adaptability, Communication",1,7,6,3
EMP100093,Nadia Lestari Utami,57,2,Standard Performer,IV,S1,Statistics,Data Analyst,Operations,CS,ENTP,93,24,3,2.8,2.8,2.75,3,3.25,3,3.2,2.5,3.33333333333333,"Harmony, Discipline, Learner, Achiever, Individualization",9,1,1,6
EMP100094,Nadia Utama Yulianto,33,4,Standard Performer,III,S1,Engineering,Brand Executive,IT,SD,INFJ,95,16,2.6,2.6,3,2.6,3.8,2.75,2.8,2.6,3,2.25,"Intellection, Focus, Input, Ideation, Communication",2,5,9,2
EMP100095,Fitri Pamungkas,41,3,Standard Performer,IV,S2,Psychology,Finance Officer,Marketing,SC,ISFJ,null,null,3,3,3.75,3.2,3.2,2.4,3.2,3.25,3.4,3.2,"Positivity, Achiever, Ideation, Arranger, Includer",2,4,3,1
EMP100096,Rama Dharma Wibowo,77,2,Standard Performer,IV,S2,Engineering,Data Analyst,R&D,SI,ENTJ,null,20,2.5,2.6,3.2,3,2.6,2.6,2,3.25,2.6,3,"Restorative, Focus, Consistency, Connectedness, Learner",7,7,7,5
EMP100097,Valdo Subekti,64,3,Standard Performer,III,S1,Economics,Supply Planner,HR,DC,INFJ,null,32,3.5,3.2,3.75,3.6,3.4,3.6,4,4.25,4.5,3.75,"Input, Analytical, Belief, Command, Discipline",8,9,7,4
EMP100098,Indra Hidayat,57,3,Standard Performer,V,S1,Business,Finance Officer,IT,ID,ENTJ,128,17,4.25,4.2,3.4,3.75,4,3.25,3.33333333333333,4,4,3.8,"Self-Assurance, Maximizer, Developer, Consistency, Deliberative",2,4,7,null
EMP100099,Tania Suharto,46,3,Standard Performer,III,S1,Statistics,HRBP,Marketing,SC,ESTJ,null,null,3,2.75,2.75,2.8,2.66666666666667,3,3.5,3.25,3.2,2.4,"Developer, Responsibility, Belief, Harmony, Futuristic",5,null,9,7
EMP100100,Intan Rachman Suharto,55,1,Standard Performer,IV,D3,Design,Brand Executive,Marketing,DC,null,null,null,3.2,3.2,3.2,3.66666666666667,3.5,3,2.8,3.6,3.25,3.33333333333333,"Relator, Connectedness, Belief, , Command",1,9,5,2
EMP100101,Yoga Pratomo,51,4,Standard Performer,V,SMA,Psychology,HRBP,Finance,IC,ESTJ,81,26,4.25,3.8,4.33333333333333,3.75,3.6,4.5,4.4,4.25,3.6,4.25,"Belief, Intellection, Includer, Responsibility, Arranger",2,null,7,4
EMP100103,Ayu Ginting,32,5,High Performer,IV,D3,Business,Data Analyst,IT,null,ESTJ,105,26,4,2.75,3,3.6,3.75,3.8,3.25,4.25,3.8,3.6,"Significance, Self-Assurance, Arranger, Ideation, Discipline",3,5,8,7
EMP100104,Budi Pratama,81,1,Standard Performer,III,SMA,Statistics,HRBP,IT,DC,ISTP,102,23,3.25,3.4,3.8,3.5,3.4,3.6,3.6,4,4.25,3.4,"Harmony, , Self-Assurance, Learner, ",null,4,9,9
EMP100105,Maya Yulianto,16,1,Standard Performer,III,SMA,Business,Brand Executive,Marketing,SC,ENFJ,null,null,3,3.25,3.66666666666667,3.25,3.33333333333333,3.25,4,3.66666666666667,3.33333333333333,3.5,"Adaptability, Context, Includer, Restorative, Achiever",5,9,7,9
EMP100106,Valdo Wijaya Wijaya,64,1,Standard Performer,V,SMA,Business,Brand Executive,R&D,CD,ENFJ,102,29,3,2.8,2.6,2.8,3,2.8,2.5,3,2.6,3,"Context, Includer, Learner, Empathy, Belief",6,5,2,1
EMP100108,Dinda Erlangga Handayani,58,4,Standard Performer,IV,S1,Statistics,Finance Officer,IT,DC,ISTP,129,27,3.6,3.4,4,3,3.2,3.4,4,3.6,3.5,3.2,"Intellection, Communication, Learner, , Significance",8,null,9,6
